[            Date / Time][                File][   TID][            Function][ Line][  Level]: [Message]
[2022.02.04-14:16:05.857][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 306
[2022.02.04-14:16:10.158][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 307
[2022.02.04-14:16:10.158][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 307
[2022.02.04-14:16:12.820][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 309
[2022.02.04-14:16:12.820][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 309
[2022.02.04-14:16:14.868][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:14.868][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:17.940][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:17.940][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:19.988][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:19.989][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:23.880][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:23.880][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:26.747][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:26.747][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:29.000][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:29.000][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:32.072][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:32.072][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:35.963][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:16:35.963][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:16:38.011][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 314
[2022.02.04-14:16:38.011][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 314
[2022.02.04-14:16:40.981][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:40.981][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:16:43.333][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:43.333][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:16:45.998][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:45.998][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:16:48.965][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:48.965][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:16:52.040][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:52.040][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:16:54.805][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:54.805][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:16:57.160][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:57.160][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:16:59.106][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:16:59.106][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:02.075][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:02.075][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:05.147][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 316
[2022.02.04-14:17:05.147][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 316
[2022.02.04-14:17:08.117][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 312
[2022.02.04-14:17:08.117][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 312
[2022.02.04-14:17:12.114][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 312
[2022.02.04-14:17:12.114][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 312
[2022.02.04-14:17:15.080][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 316
[2022.02.04-14:17:15.080][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 316
[2022.02.04-14:17:19.074][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 316
[2022.02.04-14:17:19.074][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 316
[2022.02.04-14:17:22.143][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 316
[2022.02.04-14:17:22.143][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 316
[2022.02.04-14:17:25.119][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:25.119][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:40.783][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:40.783][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:43.036][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:43.036][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:45.186][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:45.186][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:48.171][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:48.171][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:50.306][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:50.307][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:52.457][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:52.457][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:55.222][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:55.222][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:57.372][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:57.372][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:17:59.318][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:17:59.318][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:18:01.366][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:18:01.366][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:18:03.721][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 316
